ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
11060786,JA398628,8/20/17 3:56,119XX S MICHIGAN AVE,031A,ROBBERY,ARMED: HANDGUN,PARKING LOT/GARAGE(NON.RESID.),FALSE,FALSE,532,5,9,53,3,1178981,1825999,2017,8/27/17 15:48,41.67783055,-87.62050376,"(41.677830552, -87.620503762)"
11060931,JA398667,8/20/17 1:50,004XX S KOSTNER AVE,420,BATTERY,AGGRAVATED:KNIFE/CUTTING INSTR,GAS STATION,FALSE,FALSE,1131,11,24,26,04B,1147129,1897553,2017,8/27/17 15:48,41.87485061,-87.73527258,"(41.874850606, -87.735272577)"
11061013,JA398903,8/20/17 11:00,0000X N HOMAN BLVD,850,THEFT,ATTEMPT THEFT,GAS STATION,FALSE,FALSE,1123,11,28,27,6,1153708,1900256,2017,8/27/17 15:48,41.88213959,-87.71104513,"(41.882139587, -87.71104513)"
11061068,JA398850,8/20/17 7:00,081XX S STONY ISLAND AVE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,PARKING LOT/GARAGE(NON.RESID.),FALSE,FALSE,411,4,8,45,7,1188340,1851428,2017,8/27/17 15:48,41.747393,-87.58543861,"(41.747393001, -87.585438607)"
11061262,JA399217,8/20/17 15:20,049XX W NORTH AVE,430,BATTERY,AGGRAVATED: OTHER DANG WEAPON,PARKING LOT/GARAGE(NON.RESID.),FALSE,FALSE,2533,25,37,25,04B,1143068,1910180,2017,8/27/17 15:48,41.90957726,-87.74986778,"(41.909577258, -87.749867783)"
11061347,JA399205,8/20/17 15:20,047XX W MADISON ST,460,BATTERY,SIMPLE,PARKING LOT/GARAGE(NON.RESID.),FALSE,FALSE,1113,11,28,25,08B,1144781,1899601,2017,8/27/17 15:48,41.88051514,-87.7438419,"(41.880515138, -87.743841898)"
11061353,JA399241,8/20/17 16:24,008XX N PULASKI RD,460,BATTERY,SIMPLE,PARKING LOT/GARAGE(NON.RESID.),FALSE,FALSE,1112,11,27,23,08B,1149574,1905214,2017,8/27/17 15:48,41.89582612,-87.72609645,"(41.895826124, -87.726096446)"
11061419,JA399477,8/20/17 19:44,020XX E 79TH ST,820,THEFT,$500 AND UNDER,PARKING LOT/GARAGE(NON.RESID.),FALSE,FALSE,414,4,8,46,6,1191073,1852990,2017,8/27/17 15:48,41.75161364,-87.57537386,"(41.751613643, -87.575373855)"
11061450,JA399141,8/20/17 14:45,048XX S COTTAGE GROVE AVE,820,THEFT,$500 AND UNDER,PARKING LOT/GARAGE(NON.RESID.),FALSE,FALSE,223,2,4,39,6,1182406,1873099,2017,8/27/17 15:48,41.80699974,-87.60651109,"(41.806999742, -87.606511089)"
11061494,JA399432,8/20/17 16:30,071XX S KEDZIE AVE,430,BATTERY,AGGRAVATED: OTHER DANG WEAPON,PARKING LOT/GARAGE(NON.RESID.),FALSE,FALSE,831,8,18,66,04B,1156269,1857198,2017,8/27/17 15:48,41.76393165,-87.70280142,"(41.76393165, -87.702801419)"
11061500,JA399510,8/20/17 19:45,079XX S PULASKI RD,560,ASSAULT,SIMPLE,PARKING LOT/GARAGE(NON.RESID.),FALSE,TRUE,834,8,13,70,08A,1151099,1851704,2017,8/27/17 15:48,41.74895762,-87.721894,"(41.748957622, -87.721894004)"
11061594,JA399690,8/20/17 23:00,064XX N NORTHWEST HWY,810,THEFT,OVER $500,PARKING LOT/GARAGE(NON.RESID.),FALSE,FALSE,1611,16,41,9,6,1126766,1942417,2017,8/27/17 15:48,41.99832799,-87.809031,"(41.998327987, -87.809030997)"
11061869,JA399951,8/20/17 21:00,033XX W HARRISON ST,810,THEFT,OVER $500,GAS STATION,FALSE,FALSE,1134,11,24,27,6,1153993,1897159,2017,8/27/17 15:48,41.87363542,-87.71008119,"(41.873635421, -87.710081187)"
11061931,JA399861,8/20/17 20:00,113XX S ABERDEEN ST,820,THEFT,$500 AND UNDER,DRIVEWAY - RESIDENTIAL,FALSE,FALSE,2234,22,34,75,6,1171028,1829354,2017,8/27/17 15:48,41.68721409,-87.64951689,"(41.687214092, -87.649516893)"
11062048,JA400090,8/20/17 23:00,0000X E 111TH PL,910,MOTOR VEHICLE THEFT,AUTOMOBILE,GAS STATION,FALSE,FALSE,531,5,9,49,7,1178376,1831042,2017,8/27/17 15:48,41.691683,-87.62256596,"(41.691683004, -87.62256596)"
11062115,JA399969,8/20/17 16:00,119XX S LOWE AVE,820,THEFT,$500 AND UNDER,PARKING LOT/GARAGE(NON.RESID.),FALSE,FALSE,524,5,34,53,6,1174127,1825748,2017,8/27/17 15:48,41.67725059,-87.63827838,"(41.677250593, -87.638278382)"
11067482,JA399560,8/20/17 20:13,027XX N NARRAGANSETT AVE,460,BATTERY,SIMPLE,PARKING LOT/GARAGE(NON.RESID.),FALSE,TRUE,2512,25,36,19,08B,,,2017,8/27/17 15:48,,,
23533,JA398662,8/20/17 5:31,038XX S ARCHER AVE,110,HOMICIDE,FIRST DEGREE MURDER,AUTO,FALSE,FALSE,911,9,12,58,01A,1159860,1878902,2017,8/27/17 15:48,41.82341734,-87.68904329,"(41.823417338, -87.689043285)"
11061225,JA399238,8/20/17 15:27,047XX S COTTAGE GROVE AVE,2890,PUBLIC PEACE VIOLATION,OTHER VIOLATION,PARKING LOT/GARAGE(NON.RESID.),TRUE,FALSE,223,2,4,39,26,1182386,1873939,2017,8/28/17 15:52,41.80930523,-87.60655839,"(41.809305232, -87.606558389)"
11061685,JA399779,8/21/17 2:43,061XX S ASHLAND AVE,820,THEFT,$500 AND UNDER,GAS STATION,FALSE,FALSE,714,7,15,67,6,1166723,1864019,2017,8/28/17 15:54,41.78243269,-87.66429047,"(41.782432685, -87.664290466)"
11061722,JA399830,8/21/17 5:15,039XX W FULLERTON AVE,820,THEFT,$500 AND UNDER,GAS STATION,FALSE,FALSE,2525,25,30,22,6,1149497,1915660,2017,8/28/17 15:54,41.92449246,-87.72610764,"(41.924492457, -87.726107642)"
