ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
11060823,JA398686,8/20/17 2:30,0000X W CTA OHARE PLATFORM ST,460,BATTERY,SIMPLE,CTA PLATFORM,TRUE,FALSE,1654,16,41,76,08B,1100955,1934905,2017,8/27/17 15:48,41.97810845,-87.90412276,"(41.978108446, -87.904122758)"
11060934,JA398858,8/20/17 4:00,022XX N CALIFORNIA AVE,320,ROBBERY,STRONGARM - NO WEAPON,CTA TRAIN,FALSE,FALSE,1414,14,35,22,3,1157337,1914762,2017,8/27/17 15:48,41.92187232,-87.6973245,"(41.921872317, -87.697324496)"
11061037,JA398895,8/20/17 1:11,077XX N HASKINS AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,CTA TRAIN,FALSE,FALSE,2422,24,49,1,14,1163173,1951318,2017,8/27/17 15:48,42.02206269,-87.67484904,"(42.022062685, -87.67484904)"
11061047,JA398986,8/20/17 11:00,036XX W LAKE ST,320,ROBBERY,STRONGARM - NO WEAPON,CTA TRAIN,FALSE,FALSE,1122,11,28,27,3,1151988,1901284,2017,8/27/17 15:48,41.88499458,-87.71733391,"(41.884994578, -87.71733391)"
11061100,JA399042,8/20/17 13:00,009XX W LAKE ST,545,ASSAULT,PRO EMP HANDS NO/MIN INJURY,CTA PLATFORM,FALSE,FALSE,1224,12,27,28,08A,1169922,1901639,2017,8/27/17 15:48,41.88559658,-87.65146719,"(41.885596582, -87.651467186)"
11061108,JA399063,8/20/17 14:00,0000X E 28TH ST,810,THEFT,OVER $500,CTA BUS,FALSE,FALSE,133,1,2,35,6,1177528,1886315,2017,8/27/17 15:48,41.84337733,-87.62400172,"(41.84337733, -87.624001715)"
11061229,JA399242,8/20/17 11:00,0000X W CTA OHARE PLATFORM ST,870,THEFT,POCKET-PICKING,CTA PLATFORM,FALSE,FALSE,1654,16,41,76,6,1100955,1934905,2017,8/27/17 15:48,41.97810845,-87.90412276,"(41.978108446, -87.904122758)"
11061265,JA399194,8/20/17 1:05,009XX W FULLERTON AVE,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,CTA STATION,FALSE,FALSE,1812,18,43,7,11,1169570,1916141,2017,8/27/17 15:48,41.9253986,-87.65233702,"(41.925398601, -87.652337017)"
11061289,JA399196,8/20/17 12:30,005XX N STATE ST,870,THEFT,POCKET-PICKING,CTA TRAIN,FALSE,FALSE,1834,18,42,8,6,1176278,1903807,2017,8/27/17 15:48,41.89140473,-87.62806151,"(41.891404732, -87.628061509)"
11061438,JA399518,8/20/17 15:23,001XX W LAKE ST,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,CTA TRAIN,FALSE,FALSE,122,1,42,32,11,1175301,1901735,2017,8/27/17 15:48,41.88574103,-87.63171175,"(41.885741029, -87.631711749)"
11061541,JA399517,8/20/17 14:30,001XX W LAKE ST,870,THEFT,POCKET-PICKING,CTA TRAIN,FALSE,FALSE,122,1,42,32,6,1175301,1901735,2017,8/27/17 15:48,41.88574103,-87.63171175,"(41.885741029, -87.631711749)"
11061544,JA399534,8/20/17 19:45,063XX S ASHLAND AVE,1563,SEX OFFENSE,CRIMINAL SEXUAL ABUSE,CTA STATION,FALSE,FALSE,725,7,16,67,17,1166755,1862773,2017,8/27/17 15:48,41.77901282,-87.66420869,"(41.779012821, -87.664208692)"
11061719,JA399763,8/20/17 18:00,003XX N AUSTIN BLVD,460,BATTERY,SIMPLE,CTA STATION,FALSE,FALSE,1512,15,29,25,08B,1136321,1901669,2017,8/27/17 15:48,41.88634526,-87.77485728,"(41.886345263, -87.774857276)"
11061735,JA399841,8/20/17 11:38,012XX W LOYOLA AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,CTA TRAIN,FALSE,FALSE,2432,24,40,1,14,1166902,1943721,2017,8/27/17 15:48,42.00113687,-87.66134569,"(42.001136868, -87.661345692)"
11064805,JA399573,8/20/17 21:00,003XX W GARFIELD BLVD,1345,CRIMINAL DAMAGE,TO CITY OF CHICAGO PROPERTY,CTA BUS,FALSE,FALSE,711,7,3,68,14,1175146,1868360,2017,8/28/17 15:52,41.79416085,-87.63327986,"(41.79416085, -87.633279862)"
