ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
11060685,JA398517,8/20/17 0:01,037XX N JANSSEN AVE,460,BATTERY,SIMPLE,STREET,FALSE,FALSE,1922,19,44,6,08B,1165973,1924988,2017,8/27/17 15:48,41.94975285,-87.66530074,"(41.949752853, -87.665300735)"
11060688,JA398520,8/20/17 1:03,020XX W PENSACOLA AVE,031A,ROBBERY,ARMED: HANDGUN,STREET,FALSE,FALSE,1911,19,47,5,3,1162012,1928884,2017,8/27/17 15:48,41.96052747,-87.67975164,"(41.960527471, -87.679751635)"
11060702,JA398528,8/20/17 1:17,002XX N ASHLAND AVE,460,BATTERY,SIMPLE,SIDEWALK,FALSE,FALSE,1215,12,27,28,08B,1165689,1901848,2017,8/27/17 15:48,41.88626134,-87.66700557,"(41.886261339, -87.667005567)"
11060724,JA398575,8/20/17 2:16,051XX W CONCORD PL,041A,BATTERY,AGGRAVATED: HANDGUN,STREET,FALSE,FALSE,2533,25,37,25,04B,1142030,1910489,2017,8/27/17 15:48,41.9104445,-87.75367333,"(41.9104445, -87.753673327)"
11060729,JA398526,8/20/17 1:08,048XX S KILDARE AVE,051A,ASSAULT,AGGRAVATED: HANDGUN,SIDEWALK,FALSE,FALSE,815,8,23,57,04A,1148510,1872186,2017,8/27/17 15:48,41.80521367,-87.73085539,"(41.80521367, -87.73085539)"
11060733,JA398617,8/20/17 2:00,004XX S STATE ST,810,THEFT,OVER $500,STREET,FALSE,FALSE,113,1,2,32,6,1176443,1898180,2017,8/27/17 15:48,41.87596021,-87.62762549,"(41.875960208, -87.627625487)"
11060738,JA398501,8/20/17 0:47,045XX S WOOD ST,041A,BATTERY,AGGRAVATED: HANDGUN,STREET,FALSE,FALSE,924,9,20,61,04B,1165107,1874660,2017,8/27/17 15:48,41.81166723,-87.66991411,"(41.811667232, -87.669914108)"
11060742,JA398600,8/20/17 2:09,092XX S DOBSON AVE,1477,WEAPONS VIOLATION,RECKLESS FIREARM DISCHARGE,RESIDENTIAL YARD (FRONT/BACK),FALSE,FALSE,413,4,8,47,15,1184828,1844026,2017,8/27/17 15:48,41.72716416,-87.598539,"(41.727164159, -87.598538995)"
11060749,JA398612,8/20/17 2:00,015XX N LARAMIE AVE,930,MOTOR VEHICLE THEFT,THEFT/RECOVERY: AUTOMOBILE,STREET,FALSE,FALSE,2532,25,37,25,7,1141421,1909836,2017,8/27/17 15:48,41.90866387,-87.75592674,"(41.908663867, -87.75592674)"
11060751,JA398561,8/20/17 1:30,033XX W GLADYS AVE,460,BATTERY,SIMPLE,STREET,FALSE,FALSE,1134,11,28,27,08B,1154009,1898095,2017,8/27/17 15:48,41.87620359,-87.70999749,"(41.876203585, -87.709997485)"
